Team,Target,Granularity,Model,Step,Forecast,Lower_CI,Upper_CI
LSG,runs,match,SARIMAX,4,196.8137406222923,172.51118798680898,221.11629325777562
LSG,runs,match,SARIMAX,5,191.25999283364345,165.10543803252318,217.41454763476372
LSG,runs,match,Prophet,1,196.00661761166484,159.25104718037215,233.66424122210296
LSG,runs,match,Prophet,2,197.3928329966853,162.8165160779146,239.37801677421993
LSG,runs,match,Prophet,3,198.0431448910749,158.92157308732067,236.96430950425545
LSG,runs,match,Prophet,4,197.80984496437145,162.12099054575322,235.19094703205877
LSG,runs,match,Prophet,5,196.65462454011728,160.34815038939277,234.8027428855388
LSG,wickets,match,ARIMA,1,6.926847016128661,2.6655052914699047,11.188188740787417
LSG,wickets,match,ARIMA,2,5.673065266196554,1.4092720776104297,9.936858454782678
LSG,wickets,match,ARIMA,3,6.817701079430735,2.5185156273309888,11.116886531530483
LSG,wickets,match,ARIMA,4,5.8032991944625,1.494154964983096,10.112443423941905
LSG,wickets,match,ARIMA,5,6.704313134498668,2.3730813290789072,11.035544939918429
LSG,wickets,match,SARIMAX,1,4.885420544475126,3.0766852860296052,6.694155802920648
LSG,wickets,match,SARIMAX,2,4.933909320987631,2.523212372501618,7.344606269473644
LSG,wickets,match,SARIMAX,3,5.427642967231808,2.612920116899336,8.24236581756428
LSG,wickets,match,SARIMAX,4,5.34485639110337,2.2183900304745534,8.471322751732187
LSG,wickets,match,SARIMAX,5,4.32650650289073,0.9402638625523401,7.71274914322912
LSG,wickets,match,Prophet,1,5.840021897958841,3.0401720768138936,8.518506421987885
LSG,wickets,match,Prophet,2,5.711108307429297,2.9830685012638116,8.20360897741984
LSG,wickets,match,Prophet,3,5.658124800057359,3.134848714880583,8.487356770629209
LSG,wickets,match,Prophet,4,5.674417672675687,3.08114181965864,8.514734553210575
LSG,wickets,match,Prophet,5,5.750113489292831,3.05797980652327,8.414935544261025
LSG,win_probability_proxy,match,ARIMA,1,0.390861104666275,-0.5814993421004734,1.3632215514330235
LSG,win_probability_proxy,match,ARIMA,2,0.6481184917166145,-0.33545178840809664,1.6316887718413255
LSG,win_probability_proxy,match,ARIMA,3,0.46109376807845076,-0.5278058605625433,1.449993396719445
LSG,win_probability_proxy,match,ARIMA,4,0.6091296975668419,-0.380675359735132,1.5989347548688158
LSG,win_probability_proxy,match,ARIMA,5,0.49087482266832855,-0.5012163139790549,1.4829659593157118
LSG,win_probability_proxy,match,SARIMAX,1,0.5139398029370055,-0.003021223420022201,1.0309008292940331
LSG,win_probability_proxy,match,SARIMAX,2,1.056588051090558,0.5386043363292466,1.5745717658518696
LSG,win_probability_proxy,match,SARIMAX,3,0.5445688780706761,0.018347397154255707,1.0707903589870966
LSG,win_probability_proxy,match,SARIMAX,4,0.6455282653477674,0.11542289783830484,1.17563363285723
LSG,win_probability_proxy,match,SARIMAX,5,1.0191576956841968,0.4843708084108622,1.5539445829575314
LSG,win_probability_proxy,match,Prophet,1,0.6324052145464725,0.09171984847254229,1.14495056009835
